,L Velocity,R Velocity,X Position,Y Position,Theta,LiDAR F,LiDAR R,Gyro,Compass X,Compass Y
0,-0.0,-0.0,0.0,0.0,90.0,204.8,204.8,0.0,-6.123233995736766e-17,1.0
1,-0.00025,-0.001,-1.6484591469634325e-15,1.5625000003183232e-08,90.00001193662072,204.79999360000446,204.80000000000067,2.0833333325143144e-07,2.083333331901976e-07,0.9999999999999784
2,-0.0005,-0.002,-1.4665602066088468e-14,4.6875000009549695e-08,90.0000358098622,204.79998080004,204.800000000006,4.166666667249075e-07,6.249999999150659e-07,0.9999999999998047
3,-0.00075,-0.003,-5.860556484549306e-14,9.375000001909939e-08,90.0000716197244,204.79996160016,204.800000000024,6.249999999763389e-07,1.24999999989112e-06,0.9999999999992187
4,-0.001,-0.004,-1.6279955161735415e-13,1.562500000318323e-07,90.00011936620731,204.79993600044443,204.8000000000667,8.333333332277704e-07,2.083333333117709e-06,0.9999999999978298
5,-0.00125,-0.005,-3.66242147720186e-13,2.3437500004774847e-07,90.00017904931097,204.799904001,204.80000000015002,1.0416666667012464e-06,3.124999999815376e-06,0.9999999999951172
6,-0.0015,-0.006,-7.178186933742836e-13,3.281250000668479e-07,90.00025066903535,204.79986560196,204.800000000294,1.2499999999526779e-06,4.374999999759183e-06,0.9999999999904297
7,-0.00175,-0.007,-1.2760779100062792e-12,4.3750000008913046e-07,90.00033422538048,204.7998208034844,204.8000000005227,1.458333333426154e-06,5.833333333166212e-06,0.9999999999829862
8,-0.002,-0.008,-2.1094024305057247e-12,5.625000001145964e-07,90.00042971834634,204.79976960575996,204.800000000864,1.6666666666775853e-06,7.499999999806567e-06,0.999999999971875
9,-0.0022500000000000003,-0.009000000000000001,-3.295951955806231e-12,7.03125000086402e-07,90.00053714793293,204.79971200899996,204.80000000135,1.8749999999290168e-06,9.374999999668567e-06,0.9999999999560547
10,-0.0025,-0.01,-4.923549568047747e-12,8.593750000613909e-07,90.00065651414025,204.7996480134444,204.80000000201667,2.083333333402493e-06,1.1458333332957656e-05,0.9999999999343533
11,-0.00275,-0.011,-7.0899091042520015e-12,1.031250000039563e-06,90.0007878169683,204.79957761935995,204.80000000290403,2.2916666666539243e-06,1.3749999999429044e-05,0.9999999999054687
12,-0.003,-0.012,-9.902407782647061e-12,1.2187500000209183e-06,90.00093105641707,204.79950082703994,204.80000000405602,2.4999999999053557e-06,1.62499999990525e-05,0.9999999998679687
13,-0.0032500000000000003,-0.013000000000000001,-1.347825673292391e-11,1.421875000005457e-06,90.0010862324866,204.79941763680432,204.8000000055207,2.7083333333788318e-06,1.8958333332010838e-05,0.9999999998202908
14,-0.0035,-0.014,-1.7944387309398734e-11,1.6406249999363354e-06,90.00125334517683,204.79932804899985,204.80000000735,2.916666666630263e-06,2.1874999998032176e-05,0.9999999997607422
15,-0.0037500000000000003,-0.015000000000000001,-2.3437564777850638e-11,1.874999999870397e-06,90.00143239448782,204.79923206399982,204.80000000960004,3.1250000001037392e-06,2.4999999997276336e-05,0.9999999996875
16,-0.004,-0.016,-3.0104217785265067e-11,2.1249999998076418e-06,90.00162338041953,204.79912968220418,204.80000001233068,3.3333333333551707e-06,2.833333332944478e-05,0.9999999995986111
17,-0.00425,-0.017,-3.810060889009037e-11,2.3906249996912265e-06,90.00182630297198,204.79902090403965,204.800000015606,3.541666666606602e-06,3.187499999444469e-05,0.9999999994919921
18,-0.0045000000000000005,-0.018000000000000002,-4.759277771881898e-11,2.6718749995211512e-06,90.00204116214515,204.7989057299595,204.800000019494,3.750000000080078e-06,3.562499999238683e-05,0.9999999993654297
19,-0.00475,-0.019,-5.875654096598737e-11,2.968749999297415e-06,90.00226795793905,204.7987841604438,204.8000000240667,3.95833333333151e-06,3.958333332291707e-05,0.9999999992165799
20,-0.005,-0.02,-7.177737870733836e-11,3.2812499990200194e-06,90.0025066903537,204.79865619599911,204.80000002940002,4.166666666582941e-06,4.3749999985880096e-05,0.9999999990429688
21,-0.00525,-0.021,-8.685060493007768e-11,3.6093749986889633e-06,90.00275735938907,204.79852183715883,204.80000003557402,4.375000000056417e-06,4.812499998131685e-05,0.9999999988419922
22,-0.0055,-0.022,-1.0418131068945513e-10,3.953124998247404e-06,90.00301996504517,204.79838108448294,204.80000106667265,4.5833333333078485e-06,5.2708333308795634e-05,0.9999999986109158
23,-0.00575,-0.023,-1.2398436410876456e-10,4.31249999769534e-06,90.003294507322,204.798233938558,204.800001074784,4.79166666655928e-06,5.749999996807545e-05,0.999999998346875
24,-0.006,-0.024,-1.4648435353592504e-10,4.687499997032774e-06,90.00358098621956,204.79808039999747,204.800001084,5.000000000032756e-06,6.2499999959103e-05,0.999999998046875
25,-0.00625,-0.025,-1.7191564438689965e-10,5.0781249962028595e-06,90.00387940173785,204.7979204694412,204.80000109441664,5.2083333332841875e-06,6.770833328134341e-05,0.9999999977077908
26,-0.006500000000000001,-0.026000000000000002,-2.0052243598911446e-10,5.484374995205599e-06,90.00418975387689,204.79775414755596,204.80000110613398,5.4166666667576635e-06,7.312499993466515e-05,0.9999999973263672
27,-0.006750000000000001,-0.027000000000000003,-2.325585910512018e-10,5.906249993984147e-06,90.00451204263665,204.79758143503497,204.800001119256,5.625000000009095e-06,7.874999991844854e-05,0.9999999968992187
28,-0.007,-0.028,-2.682877493498381e-10,6.3437499925385054e-06,90.00484626801713,204.7974023325982,204.80000113389065,5.833333333260526e-06,8.458333323224826e-05,0.9999999964228299
