Time Index,L Velocity,R Velocity,X Position,Y Position,Theta,LiDAR F,LiDAR R,Gyro,Compass X,Compass Y
0,-0.0,-0.0,-6.462432246777915e-13,1.1537116657162061e-07,90.0002272741436,1963.402825784465,1948.7702023049683,2.727346908303819e-07,2.53468880197924e-10,1.0689773428851101
1,-0.001,0.001,2.361267052112398e-12,1.1824094780371608e-07,90.00021734654723,2018.3626096522005,1887.4813302512625,-4.66967970509318e-08,2.1634290643296557e-10,0.9320950652795273
2,-0.002,0.002,2.7506278856584366e-09,1.16677755214456e-07,89.99978380296949,1816.4845098618555,1900.3509657307864,-4.312986987112257e-05,-4.059568451503849e-08,0.966288635618891
3,-0.003,0.003,7.892646238300189e-09,1.1624041035968036e-07,89.99978353296989,2110.2879761275835,1952.7698409673035,-9.18612070447218e-05,-1.2340328294937398e-07,0.9474386566577332
4,-0.004,0.004,1.534327355362438e-08,1.1620398775863405e-07,89.99978288406277,1935.1837616072219,1719.054418812751,-0.00012861251588755214,-2.1503591138430807e-07,0.8512150555131258
5,-0.005,0.005,2.5099976809953126e-08,1.1625154545252814e-07,89.99978181014538,1941.6325298674592,2065.8093103854962,-0.00016134539038008478,-3.7169061142604646e-07,1.0714878555549352
6,-0.006,0.006,3.7174462234772275e-08,1.1630386636402035e-07,89.99978004834935,2063.0394170172553,1894.14312397493,-0.00019250601668110927,-5.912249838269089e-07,0.999038672154323
7,-0.007,0.007,5.157846870380888e-08,1.1634572605334625e-07,89.99977725590755,2032.895495485142,1958.9702709255837,-0.0002548463322599808,-8.211144401266314e-07,0.9113077999284889
8,-0.008,0.008,6.832164858652925e-08,1.1637630205341143e-07,89.99977304675154,1830.128209993974,1795.600971317066,-0.00028219162304533553,-1.113277152849138e-06,1.1053149762247614
9,-0.009000000000000001,0.009000000000000001,8.741165823868027e-08,1.1639742833469136e-07,89.99976701788961,1972.4423262768198,1969.1663006282483,-0.0003139646531968752,-1.5784818384486835e-06,1.037831762535144
10,-0.01,0.01,1.088545330269806e-07,1.164110566970189e-07,89.99975877831633,1974.1317495694082,1887.8452755479038,-0.000356538717945843,-1.8124611949224912e-06,0.8958870163519937
11,-0.011,0.011,1.326550274499829e-07,1.1641879792134713e-07,89.99974797855667,1928.7140624971387,1947.7420554851133,-0.00039876113763474504,-2.216973415130137e-06,0.9239012619519985
12,-0.012,0.012,1.5881688745013366e-07,1.1642190509558725e-07,89.99973433512064,2023.0308085684496,1846.058819160539,-0.00045940205254635385,-2.5572334432543662e-06,0.9822745887909997
