,L Velocity,R Velocity,X Position,Y Position,Theta,LiDAR F,LiDAR R,Gyro,Compass X,Compass Y
0,-0.0,-0.0,0.0,0.0,90.0,2048.0,2048.0,0.0,-6.123233995736766e-17,1.0
1,-0.001,-0.001,0.0,2.5100000038946745e-07,90.0,2047.9998971904,2048.0,0.0,-6.123233995736766e-17,1.0
2,-0.002,-0.002,0.0,7.530000002589077e-07,90.0,2047.9996915712,2048.0,0.0,-6.123233995736766e-17,1.0
3,-0.003,-0.003,0.0,1.5060000005178154e-06,90.0,2047.9993831424,2048.0,0.0,-6.123233995736766e-17,1.0
4,-0.004,-0.004,0.0,2.510000000256696e-06,90.0,2047.998971904,2048.0,0.0,-6.123233995736766e-17,1.0
5,-0.005,-0.005,0.0,3.7650000003850438e-06,90.0,2047.9984578559997,2048.0,0.0,-6.123233995736766e-17,1.0
6,-0.006,-0.006,0.0,5.270999999993364e-06,90.0,2047.9978409984,2048.0,0.0,-6.123233995736766e-17,1.0
7,-0.007,-0.007,0.0,7.027999999991152e-06,90.0,2047.9971213312,2048.0,0.0,-6.123233995736766e-17,1.0
8,-0.008,-0.008,0.0,9.036000000378408e-06,90.0,2047.9962988543998,2048.0,0.0,-6.123233995736766e-17,1.0
9,-0.009000000000000001,-0.009000000000000001,0.0,1.1295000000245636e-05,90.0,2047.9953735679999,2048.0,0.0,-6.123233995736766e-17,1.0
10,-0.01,-0.01,0.0,1.3805000000502332e-05,90.0,2047.9943454719998,2048.0,0.0,-6.123233995736766e-17,1.0
11,-0.011,-0.011,0.0,1.6566000000239e-05,90.0,2047.9932145664,2048.0,0.0,-6.123233995736766e-17,1.0
12,-0.012,-0.012,0.0,1.9578000000365137e-05,90.0,2047.9919808511997,2048.0,0.0,-6.123233995736766e-17,1.0
13,-0.013000000000000001,-0.013000000000000001,0.0,2.2840999999971245e-05,90.0,2047.9906443264001,2048.0,0.0,-6.123233995736766e-17,1.0
14,-0.014,-0.014,0.0,2.635499999996682e-05,90.0,2047.989204992,2048.0,0.0,-6.123233995736766e-17,1.0
15,-0.015000000000000001,-0.015000000000000001,0.0,3.0120000000351864e-05,90.0,2047.987662848,2048.0,0.0,-6.123233995736766e-17,1.0
16,-0.016,-0.016,0.0,3.413600000021688e-05,90.0,2047.9860178944,2048.0,0.0,-6.123233995736766e-17,1.0
17,-0.017,-0.017,0.0,3.840300000047137e-05,90.0,2047.9842701311998,2048.0,0.0,-6.123233995736766e-17,1.0
18,-0.018000000000000002,-0.018000000000000002,0.0,4.292100000020582e-05,90.0,2047.9824195584,2048.0,0.0,-6.123233995736766e-17,1.0
19,-0.019,-0.019,0.0,4.7690000000329746e-05,90.0,2047.980466176,2048.0,0.0,-6.123233995736766e-17,1.0
20,-0.02,-0.02,0.0,5.270999999993364e-05,90.0,2047.978409984,2048.0,0.0,-6.123233995736766e-17,1.0
21,-0.021,-0.021,0.0,5.7980999999927005e-05,90.0,2047.9762509824,2048.0,0.0,-6.123233995736766e-17,1.0
